catchTrial,actionExecuted,RTpress,congruency,SOAactual,delay,synchrony,RTsynchrony,respCatch,correctCatch,RTCatch,subject
1,1,0.383916864395142,2,0.0584221315383911,1,1,0.50998592376709,0,1,1.03059816360474,5
0,1,0.317148714065552,1,0.150228338241577,1,1,1.84174871444702,NaN,NaN,NaN,5
0,2,0.408954920768738,1,-0.125190281867981,0,0,0.537129878997803,NaN,NaN,NaN,5
0,2,0.383916864395142,1,0.13353630065918,0,1,0.403631210327148,NaN,NaN,NaN,5
0,1,0.367224826812744,2,-0.150228338241577,1,0,0.987379312515259,NaN,NaN,NaN,5
1,1,0.517453165054321,1,-0.383916864395142,1,0,0.477607727050781,1,1,1.0858690738678,5
0,2,0.617605390548706,1,-0.484069089889526,0,0,0.635570764541626,NaN,NaN,NaN,5
0,1,0.350532789230347,2,0.150228338241577,1,1,0.642892837524414,NaN,NaN,NaN,5
0,1,0.39226288318634,2,0.208650469779968,1,1,0.527108192443848,NaN,NaN,NaN,5
0,1,0.450685014724731,1,-0.0250380563735962,1,1,1.14578723907471,NaN,NaN,NaN,5
1,1,0.400608901977539,1,-0.0584221315383911,1,0,0.704260110855103,1,1,0.782182216644287,5
0,1,0.342186770439148,1,-0.0417300939559936,1,1,0.709880828857422,NaN,NaN,NaN,5
0,1,0.350532789230347,2,-0.0333840751647949,1,0,0.603051424026489,NaN,NaN,NaN,5
0,2,0.317148714065552,2,-0.0834601879119873,0,1,2.18700981140137,NaN,NaN,NaN,5
1,1,0.300456676483154,1,0.225342507362366,1,1,0.63462233543396,1,1,1.10190606117249,5
0,2,0.317148714065552,2,0.20030445098877,0,1,1.43179821968079,NaN,NaN,NaN,5
1,2,0.39226288318634,2,-0.166920375823975,0,1,1.17982053756714,1,1,1.20854783058167,5
0,1,0.308802695274353,1,-0.00834601879119873,1,1,0.883116245269775,NaN,NaN,NaN,5
0,2,0.383916864395142,1,0.0751141691207886,0,1,0.524624824523926,NaN,NaN,NaN,5
0,2,0.375570845603943,1,-0.141882319450378,0,0,0.68048882484436,NaN,NaN,NaN,5
0,1,0.383916864395142,1,0.0333840751647949,1,1,0.643302440643311,NaN,NaN,NaN,5
0,1,0.350532789230347,1,-0.108498244285583,1,0,0.46951961517334,NaN,NaN,NaN,5
0,2,0.450685014724731,2,0.166920375823975,0,1,0.970723628997803,NaN,NaN,NaN,5
0,1,0.383916864395142,2,0.0584221315383911,1,1,0.682793617248535,NaN,NaN,NaN,5
1,1,0.450685014724731,1,0.0667681503295898,1,1,0.453332424163818,1,1,0.876291990280151,5
0,2,0.417300939559937,2,-0.125190281867981,0,0,0.676933765411377,NaN,NaN,NaN,5
0,2,0.350532789230347,2,-0.0166920375823975,0,1,0.508635282516479,NaN,NaN,NaN,5
0,1,0.358878808021545,1,-0.0166920375823975,1,1,0.971538305282593,NaN,NaN,NaN,5
0,2,0.342186770439148,1,-0.108498244285583,0,0,0.570135116577148,NaN,NaN,NaN,5
0,2,0.417300939559937,2,-0.283764638900757,0,1,1.07144069671631,NaN,NaN,NaN,5
0,1,0.375570845603943,2,-0.0584221315383911,1,1,0.726670503616333,NaN,NaN,NaN,5
0,2,0.358878808021545,2,0.100152225494385,0,1,0.624656915664673,NaN,NaN,NaN,5
0,2,0.500761127471924,2,-0.367224826812744,0,0,0.512895107269287,NaN,NaN,NaN,5
0,2,0.367224826812744,1,0.0500761127471924,0,1,0.729986190795898,NaN,NaN,NaN,5
0,2,0.467377052307129,2,-0.0500761127471924,0,1,1.29812908172607,NaN,NaN,NaN,5
0,2,0.367224826812744,1,0.091806206703186,0,1,1.03540325164795,NaN,NaN,NaN,5
1,1,0.300456676483154,1,0.0333840751647949,1,1,0.502145290374756,1,1,0.870503902435303,5
1,2,0.32549473285675,1,0.13353630065918,0,1,0.799329280853271,0,1,1.41463708877563,5
0,1,0.350532789230347,1,-0.116844263076782,1,0,0.492664575576782,NaN,NaN,NaN,5
1,2,0.308802695274353,2,0.158574357032776,0,1,0.0103070735931396,1,1,1.14990711212158,5
1,2,0.333840751647949,1,0.183612413406372,0,1,0.479297161102295,0,1,1.45217084884644,5
0,1,0.32549473285675,1,-0.100152225494385,1,0,0.493939161300659,NaN,NaN,NaN,5
0,2,0.342186770439148,1,0.267072601318359,0,1,0.836135864257812,NaN,NaN,NaN,5
0,1,0.559183259010315,1,-0.0500761127471924,1,0,0.731122732162476,NaN,NaN,NaN,5
0,1,0.542491221427918,2,-0.425646958351135,1,0,0.643617153167725,NaN,NaN,NaN,5
0,1,0.400608901977539,2,-0.283764638900757,1,0,0.692468643188477,NaN,NaN,NaN,5
0,2,0.417300939559937,1,-0.00834601879119873,0,1,2.05983638763428,NaN,NaN,NaN,5
0,2,0.500761127471924,2,-0.166920375823975,0,0,0.630597591400146,NaN,NaN,NaN,5
0,2,0.550837240219116,2,-0.125190281867981,0,0,0.651078224182129,NaN,NaN,NaN,5
0,1,0.32549473285675,2,0.175266394615173,1,1,0.884073257446289,NaN,NaN,NaN,5
0,1,0.425646958351135,2,0.175266394615173,1,1,0.896682739257812,NaN,NaN,NaN,5
0,1,0.350532789230347,2,0.0500761127471924,1,1,0.634973287582397,NaN,NaN,NaN,5
0,1,0.517453165054321,1,-0.108498244285583,1,1,0.52880334854126,NaN,NaN,NaN,5
1,2,0.467377052307129,1,-0.183612413406372,0,0,1.14574289321899,0,1,0.941641092300415,5
0,2,0.475723071098328,1,-0.183612413406372,0,1,1.41481971740723,NaN,NaN,NaN,5
0,2,0.408954920768738,2,-0.267072601318359,0,0,0.488197088241577,NaN,NaN,NaN,5
0,1,0.383916864395142,2,0.0166920375823975,1,1,0.529447317123413,NaN,NaN,NaN,5
0,1,0.375570845603943,2,-0.100152225494385,1,1,0.812232732772827,NaN,NaN,NaN,5
0,1,0.450685014724731,1,-0.116844263076782,1,1,0.57119083404541,NaN,NaN,NaN,5
1,1,0.400608901977539,2,0.108498244285583,1,1,0.670993328094482,0,1,0.680349111557007,5
1,1,0.367224826812744,1,-0.233688526153564,1,0,1.0959780216217,1,1,0.904405832290649,5
1,2,0.417300939559937,1,0.100152225494385,0,1,0.441695690155029,0,1,0.61637806892395,5
0,2,0.433992977142334,2,0.091806206703186,0,1,1.53277921676636,NaN,NaN,NaN,5
0,2,0.32549473285675,1,0.00834601879119873,0,1,1.68094348907471,NaN,NaN,NaN,5
0,1,0.400608901977539,1,0.0584221315383911,1,1,0.507497310638428,NaN,NaN,NaN,5
0,2,0.417300939559937,1,-0.0834601879119873,0,0,0.645265340805054,NaN,NaN,NaN,5
0,1,0.342186770439148,2,0.0667681503295898,1,1,0.627932071685791,NaN,NaN,NaN,5
0,1,0.32549473285675,1,0.292110657691956,1,1,1.33824872970581,NaN,NaN,NaN,5
0,1,0.417300939559937,2,0.0333840751647949,1,1,1.1981942653656,NaN,NaN,NaN,5
1,2,0.358878808021545,2,0.0667681503295898,0,1,0.622576236724854,1,1,0.814035177230835,5
0,2,0.333840751647949,1,-0.0417300939559936,0,1,1.47780179977417,NaN,NaN,NaN,5
0,2,0.317148714065552,2,-0.0751141691207886,0,1,0.928541660308838,NaN,NaN,NaN,5
0,2,0.617605390548706,2,-0.475723071098328,0,0,0.575858592987061,NaN,NaN,NaN,5
0,1,0.500761127471924,2,-0.375570845603943,1,0,0.859662771224976,NaN,NaN,NaN,5
0,1,0.52579918384552,1,-0.0667681503295898,1,1,0.659245252609253,NaN,NaN,NaN,5
0,2,0.534145202636719,2,0.091806206703186,0,1,0.843064785003662,NaN,NaN,NaN,5
0,2,0.642643446922302,1,-0.509107146263122,0,0,1.17206025123596,NaN,NaN,NaN,5
1,2,0.383916864395142,2,-0.0417300939559936,0,1,0.736907243728638,1,1,1.03244781494141,5
0,1,0.625951409339905,1,-0.208650469779968,1,0,0.862727165222168,NaN,NaN,NaN,5
0,1,0.32549473285675,1,0.100152225494385,1,1,2.09608054161072,NaN,NaN,NaN,5
0,2,0.375570845603943,2,-0.0333840751647949,0,1,0.688025236129761,NaN,NaN,NaN,5
0,1,0.492415108680725,1,-0.20030445098877,1,0,0.504232883453369,NaN,NaN,NaN,5
0,2,0.559183259010315,2,-0.258726582527161,0,0,1.6816999912262,NaN,NaN,NaN,5
0,2,0.45903103351593,2,0.0667681503295898,0,1,1.36082172393799,NaN,NaN,NaN,5
0,2,0.367224826812744,2,0.0584221315383911,0,1,0.58047342300415,NaN,NaN,NaN,5
0,2,0.500761127471924,2,-0.0751141691207886,0,1,1.11400961875916,NaN,NaN,NaN,5
0,2,0.350532789230347,2,0.0751141691207886,0,1,1.695467710495,NaN,NaN,NaN,5
0,2,0.317148714065552,1,0.141882319450378,0,1,0.448735952377319,NaN,NaN,NaN,5
0,1,0.32549473285675,2,0.125190281867981,1,1,0.445618152618408,NaN,NaN,NaN,5
0,1,0.317148714065552,2,0.00834601879119873,1,0,0.577138662338257,NaN,NaN,NaN,5
1,1,0.308802695274353,1,0.317148714065552,1,1,0.538311004638672,1,1,0.816398859024048,5
0,1,0.333840751647949,1,0.183612413406372,1,1,0.775132417678833,NaN,NaN,NaN,5
0,2,0.300456676483154,1,0.116844263076782,0,1,0.404516220092773,NaN,NaN,NaN,5
0,2,0.333840751647949,2,0.13353630065918,0,1,0.861612319946289,NaN,NaN,NaN,5
0,1,0.333840751647949,2,0.175266394615173,1,1,1.28002405166626,NaN,NaN,NaN,5
0,1,0.467377052307129,1,-0.333840751647949,1,0,0.642972707748413,NaN,NaN,NaN,5
0,2,0.433992977142334,2,-0.13353630065918,0,0,0.888019323348999,NaN,NaN,NaN,5
0,1,0.375570845603943,1,0.0417300939559936,1,1,1.06853938102722,NaN,NaN,NaN,5
0,2,0.517453165054321,2,-0.175266394615173,0,0,0.89582633972168,NaN,NaN,NaN,5
0,1,0.300456676483154,1,-0.00834601879119873,1,1,1.17240118980408,NaN,NaN,NaN,5
1,1,0.32549473285675,2,-0.108498244285583,1,0,0.819908857345581,0,1,0.894157886505127,5
0,2,0.534145202636719,1,-0.300456676483154,0,0,0.73867130279541,NaN,NaN,NaN,5
0,1,0.417300939559937,1,-0.183612413406372,1,0,1.3291118144989,NaN,NaN,NaN,5
0,2,0.39226288318634,1,0.0250380563735962,0,1,0.878858804702759,NaN,NaN,NaN,5
0,2,0.600913352966309,1,-0.367224826812744,0,0,1.286217212677,NaN,NaN,NaN,5
1,1,0.333840751647949,2,0.166920375823975,1,1,0.536887168884277,0,1,0.829766988754272,5
0,1,0.59256733417511,2,-0.375570845603943,1,0,0.628766775131226,NaN,NaN,NaN,5
0,1,0.450685014724731,2,-0.233688526153564,1,0,0.551557540893555,NaN,NaN,NaN,5
0,2,0.358878808021545,2,0.0667681503295898,0,1,0.827578783035278,NaN,NaN,NaN,5
0,2,0.32549473285675,1,0.292110657691956,0,1,1.17713093757629,NaN,NaN,NaN,5
0,2,0.342186770439148,1,-0.0500761127471924,0,1,0.660055637359619,NaN,NaN,NaN,5
0,2,0.609259371757507,1,0.00834601879119873,0,1,0.75633978843689,NaN,NaN,NaN,5
1,2,0.442338995933533,1,-0.308802695274353,0,0,0.519503355026245,0,1,0.840452909469604,5
0,2,0.484069089889526,1,-0.250380563735962,0,0,0.561525106430054,NaN,NaN,NaN,5
0,2,0.500761127471924,1,-0.0417300939559936,0,1,1.01709413528442,NaN,NaN,NaN,5
0,2,0.39226288318634,1,0.125190281867981,0,1,0.786410570144653,NaN,NaN,NaN,5
0,2,0.417300939559937,2,0.108498244285583,0,1,0.523801803588867,NaN,NaN,NaN,5
0,1,0.333840751647949,1,0.0834601879119873,1,1,0.478810787200928,NaN,NaN,NaN,5
1,1,0.408954920768738,2,0.191958432197571,1,1,0.794932126998901,0,1,0.621677875518799,5
0,2,0.442338995933533,1,-0.0250380563735962,0,1,0.801143169403076,NaN,NaN,NaN,5
0,1,0.350532789230347,2,0.0584221315383911,1,1,0.582284688949585,NaN,NaN,NaN,5
0,1,0.317148714065552,1,-0.0250380563735962,1,1,0.537121295928955,NaN,NaN,NaN,5
0,1,0.367224826812744,2,-0.150228338241577,1,1,1.40594029426575,NaN,NaN,NaN,5
0,2,0.358878808021545,2,-0.116844263076782,0,0,1.05135202407837,NaN,NaN,NaN,5
